scopus_main_publisher	publisher_name
Aall India Institute of Medical Sciences	All India Institute of Medical Sciences
Academic Journals Inc.	Academic Journals
Academic Press Fribourg	Academic Press
Academiei Romane	Academia Romana
Academy of Criminal Justice Science	Academy of Criminal Justice Sciences
Academy of Environment Biology	Academy of Environmental Biology
ACM	Association for Computing Machinery
ACS	American Chemical Society
Adam Mickiewicz University press	Adam Mickiewicz University Press
Advanstar Communications Inc.	Advanstar Communications
African Studies Center, Michigan State University	Michigan State University
Aim Shams University	Ain Shams University
Ain Shams Medical Faculty	Ain Shams University
AIP	American Institute of Physics
Air Pollution Control Association(APCA)	Air Pollution Control Association
American Bar Association Publishing	American Bar Association
American Indian Culture and Research Center, University of California	University of California
American Ornithologists's Union	American Ornithologists' Union
American Podiatry Association	American Podiatric Medical Association
American Speech And Hearing Association	American Speech-Language-Hearing Association
Angel Business Communicaations Ltd.	Angel Business Communications Ltd.
APA	American Psychological Association
API	American Petroleum Institute
APS	American Physical Society
Armond Colin Editeur	Armand Colin Editeur
ASCE	American Society of Civil Engineers
ASME	American Society of Mechanical Engineers
Asociacion Argentina de Geofisicos y Geodesta	Asociacion Argentina de Geofisicos y Geodestas
Associacao Brasileira de Tecnologia Sementes	Associacao Brasileira de Tecnologia de Sementes
Associacao Brasileria de Divulgacao Cientifica.	Associacao Brasileira de Divulgacao Cientifica
Association Latinoamericana de Ciencias Fisiologicas	Asociacion Latinoamericana de Ciencias Fisiologicas
Association pour le Developpement et la Diffusion de l'Information Militaire	Association pour le Developement et la Diffusion de l'inforrmation Militaire
Ateneo de Manila University Press	Ateneo de Manila University
Australian Group for the Scientific Study of Dental Deficiency	Australian Group for the Scientific Study of Mental Deficiency
Australian Housing and Urban Research Institute (AHURI)	Australian Housing and Urban Research Institute
Australian School of Business, University of New South Wales	University of New South Wales
Barenreiter Verlag	Baerenreiter Verlag
Biolink Communications, Inc.	BioLink Communications
British Association of Springer Nature Conservationists	British Association of Nature Conservationists
Buisness Information Group	Business Information Group
California State University Press	California State University
Cambridge University Library	Cambridge University Press
Cambrige University Press	Cambridge University Press
Canadian Museum of Springer Nature	Canadian Museum of Nature
Catholic Faculty of Theology, University of Zagreb	University of Zagreb
Centaur Publishing Ltd.	Centaur Publishing
Center for European Studies, Harvard University	Harvard University
Center for Southeast Asian Studies, Kyoto University	Kyoto University
Center of Excellence in Electrochemistry, Faculty of Chemistry, University of Tehran	University of Tehran
Centre de Recherches Archeologiques et Historiques Anciennes et Medievales, Universite de Caen	Universite de Caen
Centre National De La Recherche Scientifique	Centre Nationale de la Recherche Scientifique
Centro de Estudios de Literatura Chilena, Instituto de Letras, Pontificia Universidad Catolica de Chile	Pontificia Universidad Catolica de Chile
Charles University in Prague	Charles University
Chinese Academy of Science	Chinese Academy of Sciences
Chinese Agricultural and Chemical Society	Chinese Agricultural Chemical Society
Chinese Ocean Press	China Ocean Press
CIC edizioni internazionali	CIC Edizioni Internazionali
CIC Edizioni Internazionali s.r.l.	CIC Edizioni Internazionali
Cidade - Editora Cientifica Ltda.	Cidade-Editora Cientifica
Cognizant Communication Corp.	Cognizant Communication Corporation
Comenius University Press	Comenius University
Consejo Superior de Investigaciones Cientificas. Instituto Arias Montano de Estudios Hebraicos	Consejo Superior De Investigaciones Cientificas
CRHQ, Universite de Caen	Universite de Caen
Cumhuriyet University Faculty of Dentistry	Cumhuriyet University
Cumhuriyet University Faculty of Medicine Department of Psychiatry	Cumhuriyet University
D M G World Media Ltd.	DMG World Media Ltd
Defence Scientific Information & Documentation Centre (DESIDOC)	Defence Scientific Information & Documentation Centre
Departamento de Historia de America, Universidad de Sevilla	Universidad de Sevilla
Department of Anthropology, University of Copenhagen	University of Copenhagen
Department of Dermatology, Faculty of Medicine, Kyoto University	Kyoto University
Department of Slavic Languages and Literatures, Faculty of Arts, University of Maribor	University of Maribor
Dept. of Agricultural Economics, Michigan State University	Michigan State University
Dept. of Linguistics and the African Studies Center, University of California	University of California
Deutsche Apotheker Verlag	Deutscher Apotheker Verlag
Deutscher Aerzte-Verlag GmbH	Deutscher Arzte-Verlag
Deutscher Aerzte-Verlag GmbH	Deutscher Arzte-Verlag GmbH
Deutscher Arzte-Verlag GmbH	Deutscher Arzte-Verlag
DMG world Media Ltd	DMG World Media Ltd
E Q E S, Inc.	EQES Inc.
Editions Doin Deren	Editions Doin-Deren Et Cie
Editions Doin Deren Et Cie	Editions Doin-Deren Et Cie
Editions E S K A	Editions ESKA
Editons Belin	Editions Belin
Editrice Kurtis srl	Editrice Kurtis s.r.l.
Edtrice la Garangola	Editrice La Garangola
English Language Institute, American University	American University
Estonian Association Applied Linguists	Estonian Association for Applied Linguistics
Euromed Communication Ltd.	Euromed Communications Ltd
Facultad de Ciencias Forestales, Universidad Austral de Chile	Universidad Austral de Chile
Facultad de Ciencias Naturales y Oceanograficas, Universidad de Concepcion	Universidad de Concepcion
Facultad de Educacion, Humanidades y Arte, Universidad de Concepcion	Universidad de Concepcion
Facultad de Filosofia y Humanidades, Intituto de Ciencias Sociales, Universidad Austral de Chile	Universidad Austral de Chile
Faculty of Agriculture, Ain-Shams University	Ain Shams University
Faculty of Arts, Masaryk University	Masaryk University
Faculty of Business and Accountancy, University of Malaya	University of Malaya
Faculty of Economics, University of Tehran	University of Tehran
Faculty of Education, University of Ljubljana	University of Ljubljana
Faculty of Forestry, University of Zagreb	University of Zagreb
Faculty of General Dental Practice (FGDP)	Faculty of General Dental Practitioners
Faculty of Health, Engineering and Science, Edith Cowan University	Edith Cowan University
Faculty of Law, Masaryk University	Masaryk University
Faculty of Law, University of Zagreb	University of Zagreb
Faculty of Mechanical Engineering, Universiti Malaysia Pahang	Universiti Malaysia Pahang
Faculty of Medicine, University of Ostrava	University of Ostrava
Faculty of Social Sciences Charles University	Charles University
Faculty of Social Sciences Charles University	Faculty of Social Sciences, Charles University
Faculty of Social Sciences, University of Ljubljana	University of Ljubljana
Faculty of Sociel Sciences, Charles Universtiy	Charles University
Faculty of Sociel Sciences, Charles Universtiy	Faculty of Social Sciences, Charles University
Faculty of Sport, University of Ljubljana	University of Ljubljana
Faculty of Teacher Education, University of Zagreb	University of Zagreb
Faculty of Theology, University of Ljubljana	University of Ljubljana
Flammarion Editions Medicales	Editions Medicales Flammarion
Foundation for Springer Nature Research and Cultural Heritage Research	Foundation for Nature Research and Cultural Heritage Research
Franz Steiner Verlag Stuttgart GmbH	Franz Steiner Verlag
Fundacao O Boticario de Protecao a Springer Natureza	Fundacao O Boticario de Protecao a Natureza
G D M B Informtionsgesellchaft	GDMB Informationsgesellschaft
Gaodeng Jiaoyu Chubanshu	Gaodeng Jiaoyu Chubanshe
GDMB Informationsgesellschaft mbH	GDMB Informationsgesellschaft
Geologica Society of America	Geological Society of America
Geological Sociey of Australia	Geological Society of Australia
Gilard Welch Ltd.	Gillard Welch Ltd.
Giorgio Bretschneider	Giorgio Bretschneider Editore
Goellar Verlag GmbH	Goeller Verlag GmbH
Hacettepe University	Hacettepe Universitesi
Hanyang University Ceramic	Hanyang University
Higher School of Economics, National Research University	National Research University
Hipatia Press	Hepatia Press
Howard University School of Law	Howard University Press
Hrvarski Lijecnicki Zbor	Hrvatski Lijecnicki Zbor
Hrvatsko filolosko drustvo	Hrvatsko Filolosko Drustvo/Croatian Philological Society
Human Springer Nature Review	Human Nature Review
Hyogo Kenritsu Hito to shizen no Hakubutsukan/Museum of Springer Nature and Human Activities	Hyogo Kenritsu Hito to shizen no Hakubutsukan/Museum of Nature and Human Activities
I T S Publishing	ITS Publishing
ICE Publishing Ltd.	ICE Publishing
IEE	Institute of Electrical Engineers
IEEE	Institute of Electrical and Electronics Engineers
INRA	Institut national de la recherche agronomique
Institue of Administrative Management	Institute of Administrative Management
Institut Royal des Sciences Springer Naturelles de Belgique	Institut Royal des Sciences Naturelles de Belgique
Institut tur Angewandte Geodaesie	Institut fur Angewandte Geodaesie
Institute for Political Research of the Department of Political Science, University of Bucharest	University of Bucharest
Institute of China Studies, University of Malaya	University of Malaya
Institute of Geography, University of Copenhagen	University of Copenhagen
Institute of Political Studies, Charles University	Charles University
Instituto de Geografia, Pontificia Universidad Catolica de Chile	Pontificia Universidad Catolica de Chile
Instituto Per La Diffusione Di Opere Scientifiche	Istituto Per La Diffusione Di Opere Scientifiche
Instituto Poligrafico e Zecca dello Stato	Istituto Poligrafico e Zecca dello Stato
International Union for Conservation of Springer Nature and Natural Resources	International Union for Conservation of Nature and Natural Resources
Internationl Rhinologic Society	International Rhinologic Society
IOP	IOP Publishing
Iranian Society of Opthalmology	Iranian Society of Ophthalmology
Isfahan University of Medical Sciences(IUMS)	Isfahan University of Medical Sciences
Isituto poligrafico e zecca dello stato	Istituto Poligrafico e Zecca dello Stato
Itellect Publishers	Intellect Publishers
Iternational Association for Great Lakes Research	International Association for Great Lakes Research
Izdatel'stvo Moskovskogo universiteta	Izdatelstvo Moskovsskgo Universiteta
Izdatel'stvo Nauka	Izdatel'stva Nauka
J.D. Sauerlaender's Verlag	J. D. Sauerlander
JEMS Communication	JEMS Communications
Kentucky Medical Assocation	Kentucky Medical Association
Korea Ocean Research & Development Institute and Korean Society of Oceanography	Korea Ocean Research and Development Institute
Koreal Association of Medical Journal Editors	Korean Association of Medical Journal Edirors
Kyujanggak Institute for Korean Studies, Seoul National University	Seoul National University
Law School, University of New South Wales	University of New South Wales
Lawbook Co.	Law Book Co.
Librairie Droz SA	Librairie Droz S.A.
Librarie Arnette	Librairie Arnette
Lithuanian Academy of Sciences Publishers	Lithuanian Academy of Sciences
Lodz University Press	Lodz University
Logo Tip Yayinciligi	Logos Tip Yayinciligi
M R A Publications, Inc.	MRA Publications, Inc.
M S P International, Inc.	MSP International
Macro International	Macro International Inc
Malayan Springer Nature Society	Malayan Nature Society
Mayo Ediciones	Ediciones Mayo
MD Publications Pvt Ltd.	MD Publications
Meditsiinski Unversitet-Sofia	Meditsinski Universitet - Sofia
Mining Communications	Mining Communications Ltd
Museum d'Histoire Springer Naturelle de Geneve	Museum d'Histoire Naturelle de Geneve
Museum National d'Histoire Springer Naturelle	Museum National d'Histoire Naturelle
Nagoya University, School of Engineering	Nagoya University
Nagoya University, School of Medicine	Nagoya University
National Hellenic Research Foundation, Institute of Historical Research, Department of Byzantine Research	National Hellenic Research Foundation, Institute of Historical Research
National Hellenic Research Foundation, Institute of Historical Research, Department of Neohellenic Research	National Hellenic Research Foundation, Institute of Historical Research
National Institute of Health	National Institutes of Health
National Rehabilitation Associtation	National Rehabilitation Association
National Research University, Higher School of Economics	Higher School of Economics, National Research University
National Research University, Higher School of Economics	National Research University
National Taiwan Normal University Educational Research and Evaluation Center	National Taiwan Normal University
Natural Environmental Research Council	Natural Environment Research Council
Nederlandse Vereniging voor Klinsche Chemie	Nederlandse Vereniging voor Klinische Chemie
New Jersey State Dental Society	New Jersey Dental Association
Nomos Verlagsgesellschaft mbH and Co., KG	Nomos Verlagsgesellschaft
Nomos Verlagsgesellschaft mbH und Co	Nomos Verlagsgesellschaft
Norsk Sykepleierforbund	Norske Sykepleierforbund
North Atlantic University Union NAUN	North Atlantic University Union
Oficyna Wydawnicza Politechniki Wroclawsjiej	Oficyna Wydawnicza Politechniki Wroclawskiej
Old City Publishing, Inc.	Old City Publishing
Ondokuz Mayis Universitesi	Ondokuz Mayis University
OUP	Oxford University Press
P. Keppler Verlag GmbH und Co.	P. Keppler Verlag GmbH
P. Keppler Verlag GmbH und Co. KG	P. Keppler Verlag GmbH
Pacific Media Centre, Auckland University of Technology	Auckland University of Technology
Panstowy Zaklad Wydawnictw Lekarskich	Panstwowy Zaklad Wydawnictw Lekarskich
Paostwowe Wydawnictwo Naukowe	Panstwowe Wydawnictwo Naukowe
Peabody Museum of Archaeology and Ethnology, Harvard University	Harvard University
PennWell Publishing Co.	Pennwell Publishing Company
Petroleo Brasilerio S.A.	Petroleo Brasileiro S.A.
Pontificia Universidad Catolica de Chile, Departamento de Ingenieria y Gestion de la Construccion	Pontificia Universidad Catolica de Chile
Pontificia Universidad Catolica de Chile, Facultad de Filosofia, Instituto de Estetica	Pontificia Universidad Catolica de Chile
Production Engineering Institute (PEI), University of Maribor	University of Maribor
Public Health Service Hospital	Public Health Service
Quarry Managers Journal Publishing Ltd.	Quarry Managers Journal Ltd.
Queensland Uuniversity of Technology	Queensland University of Technology
Royal Society of Medicine Press	Royal Society of Medicine
Rsago Editorial, S. L.,	Rasgo Editorial S.A.
RSC	Royal Society of Chemistry
Russell Publishing LLC	Russell Publishing
SAE	Society of Automotive Engineers
Sao Paulo Universidade De Sao Paulo	Universidade de Sao Paulo
Sao Paulo Universidade De Sao Paulo	Universidade De Sao Paulo
Scandinavian University Books	Scandinavian University Press
School of Education, Edith Cowan University	Edith Cowan University
School of Engineering, Auckland University of Technology	Auckland University of Technology
Schweizerische Zahnaerzfegesellschaft	Schweizerische Zahnarzte-Gesellschaft
Secretariado de Publicaciones, Universidad de Sevilla	Universidad de Sevilla
Senckenbergischen Naturforschenden Gesellschaft	Senckenbergische Naturforschende Gesellschaft
SEPM	Society for Sedimentary Geology
Societa Editrice II Mulino	Societa Editrice il Mulino
Societa editrici Universa	Societa Editrice Universo
Societe Nationale de Protection de la Springer Nature	Societe Nationale de Protection de la Nature
Societe Vaudoise des Sciences Springer Naturelles	Societe Vaudoise des Sciences Naturelles
Society of Bird Research and Springer Nature Conservation	Society of Bird Research and Nature Conservation
SPE	Society of Petroleum Engineers
Springer Nature Kenya: The East Africa Natural History Society	Nature Kenya: The East Africa Natural History Society
Stovak Academic Press Ltd.	Slovak Academic Press Ltd.
Survival revisit Institute, Kyoto University	Kyoto University
Sveuciliste Josipa Jurja Strossmayera u Osijeku	Sveuciliste Josipa Jurja Strossmayera u Osijeki
Symposium Journals Ltd.,	Symposium Journals
Taylor and Francis	Taylor & Francis
Taylor's University College	Taylor's University
Techniche Nuove SpA	Tecniche Nuove SpA
Teheran University of Medical Sciences	Tehran University of Medical Sciences
Telecommunication Society of Australia	Telecommunications Association
Telecommunications Association Inc.	Telecommunications Association
The Automotive Engineering Centre (AEC), Universiti Malaysia Pahang	Universiti Malaysia Pahang
The Center for the Study of Rationality and Beliefs, University of Bucharest	University of Bucharest
The International Society for the Study of Religion, Springer Nature & Culture	The International Society for the Study of Religion, Nature & Culture
The Korean Society of Wood Science and Technology, Seoul National University	Seoul National University
Thomas Telford Services Ltd	Thomas Telford Ltd.
Times Newspapers Ltd.	Times Newspapers Limited
Trans Tech Publications Ltd	Trans Tech Publications
Tsinghua University Press	Tsinghua University
U P MEdia Group, Inc.	UP Media Group, Inc.
U.S. Dept. of Agriculture, Chugach National Forest	US Dept. of Agriculture
U.S. Government Printing Office	U.S. Government Publishing Office
Univerisdad de Los Andes	Universidad de los Andes
Universidad de Navara	Universidad de Navarra
Universidade De Sao Paulo	Universidade de Sao Paulo
Universidade de Sao Paulo, Faculdade de Educacao	Universidade de Sao Paulo
Universidade de Sao Paulo, Faculdade de Filosofia	Universidade de Sao Paulo
Universidade de Sao Paulo, Faculdade de Saude Publica	Universidade de Sao Paulo
Universidade de Sao Paulo, Institudo de Estudos Avancados	Universidade de Sao Paulo
Universidade Federal da Parana	Universidade Federal do Parana
Universidade Federal Rural do Semi-Arid	Universidade Federal Rural do Semi-Arido
Universitat de Valencia	Universidad de Valencia
Universitat Politecnica de Valencia	Universidad Politecnica de Valencia
Universite de Caen, Centre de Recherches Archeologiques et Historiques Medievales	Universite de Caen
Universite de Caen, Laboratoire de Psychopedagogie	Universite de Caen
Universiteit Gent	Ghent University
University degli Studi di Milano	Universita degli Studi di Milano
University Hospital Ghent	Ghent University
University of Cambridge	Cambridge University Press
University of Gent	Ghent University
University of Illinois at Urbana-Champaign, College of Law	University of Illinois at Urbana-Champaign
University of Illinois at Urbana-Champaign, Department of Mathematics	University of Illinois at Urbana-Champaign
University of Ostrava Faculty of Medicine	Faculty of Medicine, University of Ostrava
University of Ostrava Faculty of Medicine	University of Ostrava
Univesidad de Granada	Universidad de Granada
Urban And Schwarzenberg	Urban Und Schwarzenberg
US Dept. of Agriculture, Bureau of Agricultural Economics	US Dept. of Agriculture
US Government Printing Office	U.S. Government Printing Office
US Government Printing Office	U.S. Government Publishing Office
V D E Verlag GmbH	VDE Verlag GmbH
V S - Verlag fur Sozialwissenschaften	VS Verlag fur Sozialwissenschaften
Verband der Deutschen Hoehlen-and Karstforscher e.V.	Verband der Deutschen Hohlen- und Karstforscher
Verlag der Oesterreichischen Akademie der Wissenschaften	Verlag der Osterreichischen Akademie der Wissenschaften
Verlag Eugen Ulmer GmbH	Verlag Eugen Ulmer
Verlag M Und H Schaper	Verlag M. und H. Schaper
Verlag M. und H. Schaper GmbH	Verlag M. und H. Schaper
Vicentz Verlag	Vincentz Verlag
Vogel Verlag und Druck GmbH and Co. KG	Vogel Verlag und Druck GmbH & Co. KG
Walter De Gruyter	Walter de Gruyter
Walter de Gruyter & Co. KG	Walter de Gruyter
Walter de Gruyter GmbH	Walter de Gruyter
Walter de Gruyter GmbH & Co. KG	Walter de Gruyter
Wayne State University	Wayne State University Press
Wichtig Publishing s.r.l.	Wichtig Publishing
Wiley Blackwell	Wiley-Blackwell
Wilmington Business Publications	Wilmington Publishing
Wilmington Publishing Ltd.	Wilmington Publishing
Wold Scientific	World Scientific
World Health Organization Regional Office for the Western Pacific	World Health Organization
Wydawnictwo Naukowe Uniwersytetu im. Adama Mickiewicza	Adam Mickiewicz University Press
Wydawnictwo Uniwersytetu Lodzkiego/Lodz University Press	Lodz University
Zheijang University Press	Zhejiang University Press
Zhonghua min guo hu li xue hui	Zhonghua Minguo Wuli Xuehui
